suburb,id,lng,lat
Abbotsbury,1,150.86643830000003,-33.8790951
Abbotsford,2,151.1289528,-33.8509528
Abercrombie,3,149.551895,-33.392742
Aberdare,4,151.3752102,-32.8432478
Aberdeen,5,150.8921355,-32.1676989
Aberglasslyn,6,151.53991269999997,-32.7026203
Abermain,7,151.4286392,-32.8105726
Abernethy,8,151.397003,-32.881729
Acacia Creek,9,152.3137574,-28.3832739
Acacia Gardens,10,150.917,-33.7322
Adaminaby,11,148.77379530000005,-35.995883
Adamstown,12,151.728899,-32.930834999999995
Adamstown Heights,13,151.711356,-32.952564
Adelong,14,148.07139909999995,-35.3095232
Agnes Banks,15,150.710327,-33.615032
Airds,16,150.8227558,-34.0922221
Albion Park,17,150.7766199,-34.570493299999995
Albion Park Rail,18,150.7873886,-34.5479608
Albury,19,146.94289730000003,-36.0660164
Aldavilla,20,152.746948,-31.076496
Alectown,21,148.17353,-32.9332199
Alexandria,22,151.1994876,-33.9020224
Alfords Point,23,151.024421,-33.993344
Alison,24,151.40168799999995,-33.264446
Allambie Heights,25,151.2551013,-33.767193
Allawah,26,151.11573280000005,-33.9702394
Allworth,27,151.944122,-32.531281
Alpine,28,150.530609,-34.391296000000004
Alstonville,29,153.4220911,-28.834462
Ambarvale,30,150.8005456,-34.0947333
Anglers Reach,31,148.662216,-36.008385
Angourie,32,153.36013799999995,-29.479216
Anna Bay,33,152.085796,-32.777697100000005
Annandale,34,151.1670987,-33.8837041
Annangrove,35,150.95214840000003,-33.6667137
Appin,36,150.7797978,-34.2115845
Apple Tree Flat,37,149.68765,-32.674669
Arakoon,38,153.0587391,-30.9064238
Arcadia,39,151.0441863,-33.620180299999994
Arcadia Vale,40,151.574539,-33.058941
Ardlethan,41,146.9026269,-34.3577277
Argenton,42,151.6306431,-32.9354343
Ariah Park,43,147.220731,-34.348322
Armatree,44,148.48106,-31.4478699
Armidale,45,151.6485166,-30.5150721
Arncliffe,46,151.142594,-33.943233
Arndell Park,47,150.8897419,-33.7903125
Arrawarra,48,153.18800900000005,-30.048923
Arrawarra Headland,49,153.199432,-30.067488
Artarmon,50,151.180367,-33.815668
Ashbury,51,151.1201175,-33.9006282
Ashcroft,52,150.896683,-33.919146999999995
Ashfield,53,151.1291067,-33.8904427
Ashley,54,149.848202,-29.473380100000004
Ashmont,55,147.34748000000005,-35.119165
Ashtonfield,56,151.5903679,-32.767529100000004
Asquith,57,151.109382,-33.696695899999995
Auburn,58,151.021195,-33.8480295
Austinmer,59,150.938837,-34.300451
Austral,60,150.8133719,-33.9282713
Avalon,61,,
Avalon Beach,62,151.3197707,-33.639943599999995
Avoca Beach,63,151.43272119999997,-33.465196899999995
Avondale,64,150.7790685,-34.51432090000001
Avonside,65,148.7605619,-36.3527044
Awaba,66,151.542201,-33.016355
Baan Baa,67,149.95183,-30.5975699
Badgerys Creek,68,150.745728,-33.879532
Balaclava,69,150.4728006,-34.44133970000001
Balcolyn,70,151.547028,-33.094769
Balgowlah,71,151.258983,-33.794576
Balgowlah Heights,72,151.2574534,-33.80104420000001
Balgownie,73,150.8803028,-34.38859
Ballina,74,153.5552988,-28.8466923
Balmain,75,151.1776503,-33.855797100000004
Balmain East,76,151.193553,-33.857477
Bangalee,77,150.559522,-34.839385
Bangalow,78,153.5217054,-28.68517589999999
Bangor,79,151.0293106,-34.0180054
Banksia,80,151.1412099,-33.9466684
Banksmeadow,81,151.2088561,-33.9587961
Bankstown,82,151.030154,-33.9237437
Bankstown Aerodrome,83,150.99003330000005,-33.915336700000005
Banora Point,84,153.53306669999995,-28.2283228
Bar Beach,85,151.7654375,-32.9384868
Baradine,86,149.068498,-30.949517
Barangaroo,87,151.2028921,-33.866338
Barden Ridge,88,151.008939,-34.033576000000004
Bardia,89,150.8634154,-33.9788869
Bardwell Park,90,151.1254325,-33.9316527
Bardwell Valley,91,151.133102,-33.934635
Barellan,92,146.572379,-34.285031
Bargo,93,150.5799159,-34.292463700000006
Barham,94,144.12858380000003,-35.62910520000001
Barmedman,95,147.3869595,-34.144274
Barnsley,96,151.5863085,-32.9320291
Barraba,97,150.60931509999998,-30.380164
Barrack Heights,98,150.85716509999997,-34.559056299999995
Barrack Point,99,150.866089,-34.564129
Barrengarry,100,150.52568090000003,-34.7175454
Barry,101,149.27174399999996,-33.645962
Basin View,102,150.5626782,-35.0908326
Bass Hill,103,150.9992625,-33.90059160000001
Bateau Bay,104,151.480697,-33.381446999999994
Batehaven,105,150.200066,-35.732765
Batemans Bay,106,150.16850280000003,-35.72189710000001
Bathurst,107,149.5433333,-33.4152778
Batlow,108,148.145873,-35.51956
Baulkham Hills,109,150.9635188,-33.7555342
Bawley Point,110,150.391084,-35.507785
Bayview,111,151.29850880000004,-33.659221200000005
Beacon Hill,112,151.254806,-33.752534000000004
Beaconsfield,113,151.202247,-33.9088737
Beaumont Hills,114,150.9412511,-33.698524400000004
Beckom,115,146.9612446,-34.3252034
Beechwood,116,152.668753,-31.436339
Beecroft,117,151.065695,-33.749185600000004
Beecroft Peninsula,118,150.8203326,-35.0186305
Beelbangera,119,146.102158,-34.254017
Bega,120,149.845464,-36.68385720000001
Belbora,121,152.178497,-32.012878
Belfield,122,151.0839486,-33.9016408
Belford,123,151.28866599999995,-32.656303
Belimbla Park,124,150.543198,-34.075835999999995
Bell,125,150.278888,-33.5056603
Bella Vista,126,150.946552,-33.732147999999995
Bellambi,127,150.91042869999995,-34.3707184
Bellata,128,149.79052980000003,-29.9183409
Bellawongarah,129,150.617456,-34.761177
Bellbird,130,151.3246726,-32.8542678
Bellbird Heights,131,151.3292969,-32.8490352
Bellbrook,132,152.49789730000003,-30.6977141
Bellevue Hill,133,151.2673478,-33.8852592
Bellingen,134,152.89521489999996,-30.4510781
Belmont,135,151.6650237,-33.0271038
Belmont North,136,151.6676733,-33.020155100000004
Belmont South,137,151.6553937,-33.0497104
Belmore,138,151.0886841,-33.919250500000004
Belrose,139,151.21744630000003,-33.7284795
Bemboka,140,149.567115,-36.625704
Ben Bullen,141,150.03553480000005,-33.2427646
Benandarah,142,150.239304,-35.64788400000001
Bendalong,143,150.531403,-35.246799
Bendemeer,144,151.15838530000005,-30.880671000000003
Bendick Murrell,145,148.45053,-34.1550299
